domanda,A,B,C,D,risposta
Cosa distingue le regole poste dallo Stato dalle regole poste da altre organizzazioni?,Sono più facili da rispettare.,Sono le uniche che possono essere imposte con la forza.,Sono meno importanti.,Sono sempre giuste.,B
Come si adegua il legislatore accorto al sentimento del giusto?,Ignorando le opinioni della gente.,Adeguandosi al mutamento del sentimento del giusto nella gente.,Imponendo le proprie convinzioni.,Seguendo solo le leggi esistenti.,B
Da chi è composto il Governo italiano?,Dal Presidente della Repubblica e dai Ministri.,Dal Presidente del Consiglio e dai Ministri.,Dal Parlamento e dal Presidente del Consiglio.,Dalla Camera dei Deputati e dal Senato.,B
Quali sono le fonti statali del diritto?,"Trattati, regolamenti e direttive dell’Unione europea.",Leggi regionali.,"Leggi ordinarie, decreti legge e decreti legislativi.",Consuetudini.,C
Quale ramo del diritto regola i rapporti tra privati cittadini?,Diritto pubblico.,Diritto costituzionale.,Diritto penale.,Diritto privato.,D
Quale sito web offre l'accesso gratuito agli atti pubblicati nella Serie Generale della Gazzetta Ufficiale?,www.parlamento.it,www.gazzettaufficiale.it,www.normattiva.it,www.altalex.com,C
"Cosa si intende per ""civil law""?",Un sistema giuridico basato sulle consuetudini.,Un sistema giuridico in cui le decisioni delle corti supreme sono fondamentali.,Un sistema giuridico in cui un organo legislativo delibera norme che i giudici devono applicare.,Un sistema giuridico tipico del Regno Unito.,C
"Cosa si intende per ""rapporto giuridico""?",Un rapporto di amicizia regolato dalla morale.,Un rapporto di lavoro non regolato da contratto.,Un rapporto tra due o più parti regolato dal diritto.,Un rapporto familiare basato solo sull'affetto.,C
Quale delle seguenti opzioni rappresenta un esempio di diritto soggettivo?,Il dovere di pagare le tasse.,Il diritto di essere pagato per il lavoro svolto.,L'onere di frequentare la scuola.,L'obbligo di difendere la Patria.,B
Qual è la definizione di 'potestà' nel contesto giuridico?,Un diritto soggettivo assoluto.,Un complesso di poteri e di doveri accordato a un soggetto per la tutela di un interesse altrui.,Un interesse legittimo nei confronti della Pubblica Amministrazione.,La situazione in cui viene a trovarsi chi è soggetto all’altrui potestà.,B
Qual è la differenza tra diritto oggettivo e diritto soggettivo?,"Il diritto oggettivo è il potere di far valere un interesse, mentre il diritto soggettivo è l'insieme delle norme.","Il diritto oggettivo è l'insieme delle norme, mentre il diritto soggettivo è il potere di far valere un interesse.",Non c'è differenza tra diritto oggettivo e soggettivo.,"Il diritto oggettivo si applica solo ai cittadini, mentre il diritto soggettivo si applica solo allo Stato.",B
"In un rapporto giuridico, cosa indica la 'soggezione'?",La titolarità di un diritto soggettivo.,La situazione di chi è soggetto all'altrui potestà.,L'esercizio di un potere di comando.,La libertà di agire senza vincoli.,B
Quale termine veniva originariamente utilizzato nel mondo romano per esprimere il concetto di diritto?,Directum.,Lex.,Ius.,Regula.,C
Qual è la funzione fondamentale del diritto?,Favorire la conflittualità sociale.,Garantire la pacifica convivenza.,Aumentare le disuguaglianze.,Limitare la libertà individuale.,B
Quali sono i dati identificativi di una norma giuridica necessari per rintracciarla?,Solo la data di emanazione.,"La fonte da cui proviene, la data di emanazione e il numero d’ordine.",Solo il numero d’ordine.,Solo la fonte da cui proviene.,B
In quale parte del codice si può trovare l'articolo che disciplina la rissa?,Nel libro primo.,Nel libro secondo intitolato “dei delitti in particolare”.,Nel titolo primo.,Nel titolo XII (dei delitti contro la proprietà).,B
Quale codice è stato il primo della serie moderna e ha ispirato la codificazione in molti altri paesi europei?,Il codice di Hammurabi.,La legge delle XII tavole.,Il codice civile francese (Napoleonico).,I codici italiani del 1865-1889.,C
Qual è la differenza principale tra 'dovere' e 'obbligo'?,"Il dovere è specifico per un soggetto, l'obbligo è generale.","Il dovere è nell'interesse generale, l'obbligo è nell'interesse di uno o più soggetti.","Il dovere è volontario, l'obbligo è imposto.","Non c'è differenza, i termini sono sinonimi.",B
Cosa caratterizza un 'onere' nel diritto?,È un comportamento obbligatorio per tutti i cittadini.,È un comportamento necessario per soddisfare un interesse generale.,"È un comportamento non obbligatorio, ma indispensabile per conseguire un determinato risultato.",È un diritto soggettivo che può essere fatto valere verso tutti.,C
Cosa si intende per 'soggezione'?,Il potere di un soggetto di imporre la propria volontà ad altri.,La situazione in cui viene a trovarsi chi è soggetto all’altrui potestà.,Un diritto soggettivo che può essere fatto valere erga omnes.,Un interesse legittimo nei confronti della Pubblica Amministrazione.,B
Quale delle seguenti affermazioni descrive correttamente la 'prescrizione'?,L'acquisizione di un diritto per effetto del possesso continuato nel tempo.,L'estinzione di un diritto a causa del mancato esercizio da parte del titolare per un periodo stabilito dalla legge.,La perdita di un diritto a causa della sua cessione a terzi.,La sospensione di un diritto a seguito di una decisione giudiziaria.,B
Qual è la funzione principale del diritto?,Garantire la pacifica convivenza stabilendo i comportamenti da tenere.,Aumentare le tasse per finanziare i servizi pubblici.,Limitare la libertà di espressione dei cittadini.,Promuovere il conflitto tra diverse fazioni politiche.,A
Qual è l'ordine gerarchico delle fonti del diritto?,"Consuetudini, regolamenti, fonti primarie, Costituzione.","Costituzione, fonti primarie, regolamenti, consuetudini.","Regolamenti, consuetudini, Costituzione, fonti primarie.","Fonti primarie, Costituzione, consuetudini, regolamenti.",B
Cosa sono i codici nel contesto del diritto?,Raccolte di sentenze dei tribunali.,Leggi brevi che trattano argomenti specifici.,Leggi ampie che disciplinano un'intera materia o ramo del diritto.,Documenti storici senza valore legale.,C
"Qual è il rapporto tra diritto e giustizia, secondo il testo?",Sono sempre coincidenti.,Il diritto riflette ciò che la maggioranza ritiene giusto in un dato momento storico.,Sono concetti completamente separati.,La giustizia è sempre oggettiva.,B
Perché è utile la diversa denominazione assunta dalle norme giuridiche?,Per confondere i cittadini.,Per individuare immediatamente la fonte da cui provengono.,Per rendere più difficile il rispetto delle norme.,Non ha alcuna utilità.,B
Cosa sono le fonti del diritto?,Solo le leggi approvate dal Parlamento.,Gli atti e i fatti da cui scaturiscono norme giuridiche.,Solo i regolamenti emanati dal sindaco.,Le consuetudini popolari.,B
Qual è la funzione principale del Parlamento italiano?,Provvedere al soddisfacimento dei bisogni del Paese.,Deliberare le leggi.,Esercitare il controllo sul sistema creditizio.,Gestire le assicurazioni sociali.,B
Qual è la funzione fondamentale del Governo?,Deliberare le leggi.,Controllare il sistema creditizio.,Provvedere al soddisfacimento dei principali bisogni del Paese.,Gestire le assicurazioni sociali.,C
Cosa sono le consuetudini (o usi)?,Norme contenute nella Costituzione.,Norme scritte approvate dal Parlamento.,Norme non scritte nate dalla ripetizione costante di atti compiuti con la convinzione di adempiere a un dovere giuridico.,Regolamenti adottati dal Governo.,C
In quali casi le consuetudini hanno valore vincolante per i cittadini?,"Sempre, in ogni caso.",Solo quando sono espressamente richiamate dalla Costituzione.,Solo nei casi in cui disciplinano questioni non regolate da una norma scritta oppure quando una norma scritta vi fa espresso riferimento.,Solo se approvate dal Parlamento.,C
"Da dove deriva il termine ""codice""?",Dal greco antico.,"Dal latino ""codex"".",Dall'arabo.,Dal francese antico.,B
Qual è la caratteristica principale dei Testi Unici rispetto ai codici?,Introducono elementi innovativi nel diritto.,Ridisegnano interamente la materia da regolare.,Riuniscono norme già esistenti coordinandole.,Sono formati da migliaia di articoli.,C
Cosa indica il termine 'obbligo' nel contesto giuridico?,La necessità di soddisfare un interesse generale.,"La necessità di soddisfare, con il comportamento imposto, l'interesse specifico di uno o più soggetti.",Un comportamento indispensabile per conseguire un determinato risultato.,Un potere esercitato nell'interesse della collettività.,B
Cosa si intende per 'interesse legittimo'?,L'interesse del soggetto a che gli organi della Pubblica Amministrazione svolgano la loro funzione nel rispetto delle norme.,Il diritto di ottenere la promozione in un concorso pubblico.,L'obbligo di rispettare le leggi dello Stato.,Il diritto di essere risarciti per qualsiasi danno subito.,A
Cosa si intende per 'norma giuridica'?,Una semplice raccomandazione.,Una regola di diritto.,Un consiglio non vincolante.,Un'opinione personale.,B
In cosa si differenziano diritto pubblico e diritto privato?,"Il diritto pubblico regola solo i rapporti tra privati, mentre il diritto privato regola lo Stato.","Il diritto pubblico regola l'organizzazione dello Stato e i rapporti con i cittadini, mentre il diritto privato regola i rapporti tra privati.",Il diritto pubblico è più importante del diritto privato.,Non c'è alcuna differenza tra diritto pubblico e diritto privato.,B
Cosa comporta la prescrizione di un diritto?,L'aumento del valore del diritto nel tempo.,La possibilità di esercitare il diritto senza limiti di tempo.,L'estinzione del diritto se non esercitato entro un certo periodo.,Il trasferimento automatico del diritto a un altro soggetto.,C
"Chi pone le regole del diritto, secondo il testo?",Solo le confessioni religiose.,Solo le associazioni sportive.,Solo lo Stato.,"Lo Stato, ma non è l'unico.",D
Quale dei seguenti è un esempio di codice in vigore in Italia?,Codice della strada.,Codice del turismo.,Codice civile.,Codice dell'ambiente.,C
